RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
has television screenplay expression RDA 24.5,http://rdaregistry.info/Elements/e/P20161,"bf:accompaniedBy <P20161value> .
# with literal value
bf:accompaniedBy [ a bf:Work ;
   rdfs:label ""P20161value"" ] .","accompaniedBy*
or
accompaniedBy >> Work > rdfs:label"
has video screenplay expression RDA 24.5,http://rdaregistry.info/Elements/e/P20162,"bf:accompaniedBy <P20162value> .
# with literal value
bf:accompaniedBy [ a bf:Work ;
   rdfs:label ""P20162value"" ] .","accompaniedBy*
or
accompaniedBy >> Work > rdfs:label"
has libretto expression RDA 24.5,http://rdaregistry.info/Elements/e/P20163,"bf:accompaniedBy <P20163value> .
# with literal value
bf:accompaniedBy [ a bf:Work ;
   rdfs:label ""P20163value"" ] .","accompaniedBy*
or
accompaniedBy >> Work > rdfs:label"
is paraphrased as expression RDA 24.5,http://rdaregistry.info/Elements/e/P20164,"bf:hasDerivative <P20164value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P20164value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label"
is arranged as RDA 24.5,http://rdaregistry.info/Elements/e/P20165,"bf:hasDerivative <P20165value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P20165value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label"
is abridged as expression RDA 24.5,http://rdaregistry.info/Elements/e/P20166,"bf:hasDerivative <P20166value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P20166value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label"
is split from expression RDA 24.5,http://rdaregistry.info/Elements/e/P20167,"bf:separatedFrom <P20167value> .
# with literal value
bf:separatedFrom [ a bf:Work ;
   rdfs:label ""P20167value"" ] .","separatedFrom*
or
separatedFrom >> Work > rdfs:label"
is separated from expression RDA 24.5,http://rdaregistry.info/Elements/e/P20168,"bf:separatedFrom <P20168value> .
# with literal value
bf:separatedFrom [ a bf:Work ;
   rdfs:label ""P20168value"" ] .","separatedFrom*
or
separatedFrom >> Work > rdfs:label"
is succeeded by expression RDA 24.5,http://rdaregistry.info/Elements/e/P20169,"bf:succeededBy <P20169value> .
# with literal value
bf:succeededBy [ a bf:Work ;
   rdfs:label ""P20169value"" ] .","succeededBy*
or
succeededBy >> Work > rdfs:label"
is digested as expression RDA 24.5,http://rdaregistry.info/Elements/e/P20170,"bf:hasDerivative <P20170value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P20170value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label"
