RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
has curator collective agent,http://rdaregistry.info/Elements/i/P40115,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""p40115value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/cur> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40115value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/cur> ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/cur>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/cur>"
has illuminator collective agent,http://rdaregistry.info/Elements/i/P40116,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40116value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/ilu> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40116value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/ilu> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/ilu> > agent >> Agent > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/ilu>"
has current owner collective agent,http://rdaregistry.info/Elements/i/P40117,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40117value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/own> ] ;
bf:custodialHistory ""P40017value"" .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40117value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/own> ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/own>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/own>"
has former owner collective agent,http://rdaregistry.info/Elements/i/P40118,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40118value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/fmo> ] ;
bf:custodialHistory ""P40118value"" .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40118value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/fmo> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/fmo> > agent >> Agent > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/fmo>"
has custodian collective agent,http://rdaregistry.info/Elements/i/P40119,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40119value"" ] ;
   bf:role [ a bf:Role ;
      rdfs:label ""custodian"" ] ] ;
bf:custodialHistory ""P40119value"" .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40119value> ;
   bf:role [ a bf:Role ;
      rdfs:label ""custodian"" ]  ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role >> Role > rdfs:label=""custodian""
or
contribution >> Contribution > agent* > role >> Role > rdfs:label=""custodian"" "
has owner collective agent,http://rdaregistry.info/Elements/i/P40120,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40120value"" ] ;
   bf:role [ a bf:Role ;
      rdfs:label ""owner"" ] ] ;
bf:custodialHistory ""P40120value"" .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40120value> ;
   bf:role [ a bf:Role ;
      rdfs:label ""owner"" ]  ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role >> Role > rdfs:label=""owner""
or
contribution >> Contribution > agent* > role >> Role > rdfs:label=""owner"" "
has collector collective agent,http://rdaregistry.info/Elements/i/P40121,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""p40121value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/col> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40121value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/col> ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/col>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/col>"
has collection registrar collective agent,http://rdaregistry.info/Elements/i/P40122,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""p40122value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/cor> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40122value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/cor> ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/cor>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/cor>"
has depositor collective agent,http://rdaregistry.info/Elements/i/P40123,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40123value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/dpt> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40123value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/dpt> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/dpt> > agent >> Agent > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/dpt>"
has donor collective agent,http://rdaregistry.info/Elements/i/P40124,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40124value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/dnr> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40124value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/dnr> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/dnr> > agent >> Agent > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/dnr>"
