RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
has contributor agent of object,http://rdaregistry.info/Elements/m/P30332,"
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Object ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Agent ;
      rdfs:label ""P30332value"" ] ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of object"" ] ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Object ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30332value> ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of object"" ] ] ] .","instanceOf >> Work > expressionOf >> Object ; > contribution >> Contribution > agent >> Agent > rdfs:label ; > role >> Role > rdfs:label=""contributor of object""
or
instanceOf >> Work > expressionOf >> Object ; > contribution >> Contribution > agent* > role >> Role > rdfs:label=""contributor of object""
"
has contributor agent of computer content,http://rdaregistry.info/Elements/m/P30333,"
bf:instanceOf [ a bf:Work ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Agent ;
      rdfs:label ""P30333value"" ] ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of computer content"" ] ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30316value> ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of computer content"" ] ] ] .","instanceOf >> Work > contribution >> Contribution > agent >> Agent > rdfs:label ; > role >> Role > rdfs:label=""contributor of computer content""
or
instanceOf >> Work > contribution >> Contribution > agent* > role >> Role > rdfs:label=""contributor of computer content""

"
is source consulted of,http://rdaregistry.info/Elements/m/P30334,not mapped,not mapped
has category of manifestation,http://rdaregistry.info/Elements/m/P30335,"bf:genreForm <P30335value> .
# with literal value
bf:genreForm [ a bf:GenreForm ;
   rdfs:label ""P30335value"" ] .","genreForm*
or
genreForm >> GenreForm > rdfs:label "
has contributor person to aggregate,http://rdaregistry.info/Elements/m/P30336,not mapped,not mapped
has surveyor person,http://rdaregistry.info/Elements/m/P30337,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""P30337value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/srv> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P30337value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/srv> ] .","contribution >> Contribution > agent >> Person > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/srv>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/srv>"
has contributor person of cartography,http://rdaregistry.info/Elements/m/P30338,"
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Cartography ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Person ;
      rdfs:label ""P30338value"" ] ;
    bf:role <http://id.loc.gov/vocabulary/relators/ctg> ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Cartography ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30338value> ;
    bf:role <http://id.loc.gov/vocabulary/relators/ctg> ] ] .","instanceOf >> Work > expressionOf >> Cartography ; > contribution >> Contribution > agent >> Person > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/ctg>
or
instanceOf >> Work > expressionOf >> Cartography ; > contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/ctg>"
has contributor person of choreography,http://rdaregistry.info/Elements/m/P30339,"
bf:instanceOf [ a bf:Work ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Person ;
      rdfs:label ""P30339value"" ] ;
    bf:role <http://id.loc.gov/vocabulary/relators/chr> ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30339value> ;
    bf:role <http://id.loc.gov/vocabulary/relators/chr> ] ] .","instanceOf >> Work > contribution >> Contribution > agent >> Person > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/chr>
or
instanceOf >> Work > contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/chr>"
has contributor person of moving image,http://rdaregistry.info/Elements/m/P30340,"
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:MovingImage ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Person ;
      rdfs:label ""P30340value"" ] ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of moving image"" ] ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:MovingImage ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30340value> ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of moving image"" ] ] ] .","instanceOf >> Work > expressionOf >> MovingImage ; > contribution >> Contribution > agent >> Person > rdfs:label ; > role >> Role > rdfs:label=""contributor of moving image""
or
instanceOf >> Work > expressionOf >> MovingImage ; > contribution >> Contribution > agent* > role >> Role > rdfs:label=""contributor of moving image"""
has contributor person of music,http://rdaregistry.info/Elements/m/P30341,"
bf:instanceOf [ a bf:Work ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Person ;
      rdfs:label ""P30341value"" ] ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of music"" ] ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30341value> ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of music"" ] ] ] .","instanceOf >> Work > contribution >> Contribution > agent >> Person > rdfs:label ; > role >> Role > rdfs:label=""contributor of music""
or
instanceOf >> Work > contribution >> Contribution > agent* > role >> Role > rdfs:label=""contributor of music"""
has contributor person of speech,http://rdaregistry.info/Elements/m/P30342,"
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Audio ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Person ;
      rdfs:label ""P30342value"" ] ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of speech"" ] ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Audio ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30342value> ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of speech"" ] ] ] .","instanceOf >> Work > expressionOf >> Audio ; > contribution >> Contribution > agent >> Person > rdfs:label ; > role >> Role > rdfs:label=""contributor of speech""
or
instanceOf >> Work > expressionOf >> Audio ; > contribution >> Contribution > agent* > role >> Role > rdfs:label=""contributor of speech"""
has contributor person of still image,http://rdaregistry.info/Elements/m/P30343,"
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:StillImage ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Person ;
      rdfs:label ""P30343value"" ] ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of still image"" ] ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:StillImage ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30343value> ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of still image"" ] ] ] .","instanceOf >> Work > expressionOf >> StillImage ; > contribution >> Contribution > agent >> Person > rdfs:label ; > role >> Role > rdfs:label=""contributor of still image""
or
instanceOf >> Work > expressionOf >> StillImage ; > contribution >> Contribution > agent* > role >> Role > rdfs:label=""contributor of still image"""
has contributor person of text,http://rdaregistry.info/Elements/m/P30344,"
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Text ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Person ;
      rdfs:label ""P30344value"" ] ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of text"" ] ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Text ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30344value> ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of text"" ] ] ] .","instanceOf >> Work > expressionOf >> Text ; > contribution >> Contribution > agent >> Person > rdfs:label ; > role >> Role > rdfs:label=""contributor of text""
or
instanceOf >> Work > expressionOf >> Text ; > contribution >> Contribution > agent* > role >> Role > rdfs:label=""contributor of text"""
has contributor person of object,http://rdaregistry.info/Elements/m/P30345,"
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Object ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Person;
      rdfs:label ""P30345value"" ] ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of object"" ] ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Object ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30345value> ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of object"" ] ] ] .","instanceOf >> Work > expressionOf >> Object ; > contribution >> Contribution > agent >> Person > rdfs:label ; > role >> Role > rdfs:label=""contributor of object""
or
instanceOf >> Work > expressionOf >> Object ; > contribution >> Contribution > agent* > role >> Role > rdfs:label=""contributor of object"""
has contributor person of computer content,http://rdaregistry.info/Elements/m/P30346,"
bf:instanceOf [ a bf:Work ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Person ;
      rdfs:label ""P30346value"" ] ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of computer content"" ] ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30346value> ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of computer content"" ] ] ] .","instanceOf >> Work > contribution >> Contribution > agent >> Person > rdfs:label ; > role >> Role > rdfs:label=""contributor of computer content""
or
instanceOf >> Work > contribution >> Contribution > agent* > role >> Role > rdfs:label=""contributor of computer content"""
